Entry,Study,ExptA,Expt,Ref,Source,TDBU,FTG,Ygen,Yqual,Yunits,Ydesc,Consumer,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,LnSPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,Coll,Comment1,AddTrt1,AddTrt2,AddTrt3,ExpVar,NatVar,Comp.,Tr1,Tr2,Tr1Type,Tr2Type,CO2,fert,Nfert,Pfert,Ofert,Temp,Water,Light,Other,Nfertlevel,Pfertlevel,TdeloC,W%control,Light%control,Comment2,NEmono,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N18,N19,N20,N22,N23,N24,N31,N32,N36,N43,N60,N72,Emono,YEmono,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y18,Y19,Y20,Y22,Y23,Y24,Y31,Y32,Y36,Y43,Y60,Y72,SDEmono,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD18,SD19,SD20,SD22,SD23,SD24,SD31,SD32,SD36,SD43,SD60,SD72,NSmax,YSmax,SDSmax,LRR1,VLRR1,CILRR1,SigLRR1,LRR2,VLRR2,CILRR2,SigLRR2,lina,linb,linrsq,linaic,mma,mmb,mmrsq,mmaic,powa,powb,powrsq,powaic,loga,logb,logrsq,logaic,expa,expb,exprsq,expaic,bestr2,bestaic,"Mclaim: What mechanism(s) do the authors claim underlie diversity effects in their study?  C = Complementarity, F = Facilitation, I = Interference competition, ID = Species identity or composition, IN = Reduced intraspecific competition in polycultures, IP = Intraguild predation, N = Non-linear functional responses, NE = No diversity effect, R = Resource or other form of niche partitioning, S = Sampling effect, Se = Selection effect.",Mtest,Prich,Pcomp,SStot,SSrich,SScomp,PerSSrich,PerSScomp,SScomp2rich,RYT,SDRYT,DT,SDDT,Dmax,SDDmax,Dmean,SDDmean,CE,SDCE,SE,SDSE,SE2CE,DE,SDDE,TDC,SDTDC,TIC,SDTIC,rMiYoi,rMiRYi,Flag1,Flag2,Comment3
1172,165,444,444,"Snyder et al, Biol Cont 2008","F1, Data From Author",TD,3,SSR,,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Diaeretiella rapae, Nabis spp., Coccinella septempunctata, Hippodamia convergens)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Brevicoryne brassicae),T,11,3,1,2,S,"Washington State University Research Station in Othello, WA.",46.82,-119.17,.,.,2,4,4,4,.,0.02,200,5.2983,11,26,0.4231,-0.8602,Y,N,1,N,KM,.,Experiment 2,.,.,,,,,,,,,,,,,,,,,,,,,,,3,12,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diaeretiella rapae,100,260.0833,.,.,209.6667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26.4575,185.1611,.,.,158.7787,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,209.667,158.779,-0.215,0.138,0.728,N,0.74,0.119,0.676,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1174,165,444,444,"Snyder et al, Biol Cont 2008","F1, Data From Author",TD,3,SSR,,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Diaeretiella rapae, Nabis spp., Coccinella septempunctata, Hippodamia convergens)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Brevicoryne brassicae),T,11,3,1,2,S,"Washington State University Research Station in Othello, WA.",46.82,-119.17,.,.,2,4,4,4,.,0.02,200,5.2983,19,26,0.7308,-0.3137,Y,N,1,N,KM,.,Experiment 2,.,.,,,,,,,,,,,,,,,,,,,,,,,3,12,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nabis,360,576.6667,.,.,339.1667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,121.2436,370.5606,.,.,170.0711,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,339.167,170.071,-0.531,0.076,0.541,N,-0.06,0.08,0.553,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1176,165,444,444,"Snyder et al, Biol Cont 2008","F1, Data From Author",TD,3,SSR,,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Diaeretiella rapae, Nabis spp., Coccinella septempunctata, Hippodamia convergens)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Brevicoryne brassicae),T,11,3,1,2,S,"Washington State University Research Station in Othello, WA.",46.82,-119.17,.,.,2,4,4,4,.,0.02,200,5.2983,28,26,1.0769,0.0741,Y,Y,1,N,KM,.,Experiment 2,.,.,,,,,,,,,,,,,,,,,,,,,,,3,12,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nabis,1390,2829.1667,.,.,2345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,315.7531,2023.114,.,.,1509.0891,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2345,1509.089,-0.188,0.112,0.655,N,0.523,0.086,0.576,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1294,172,526,526,"Ericson et al, Mar Biodiversity 2009",F2,TD,2,SSR,.,g L-1,Algal wet mass ,"Animalia (Littorina littorea, Littorina obtusata, Idotea granulosa, Gammarus duebeni)",Macroalgae,A,4,1,10,2,S,Tj_rn_ Marine Biological Laboratory on the Swedish west coast,58.9,11.11,.,.,2,4,4,.,1,0.03,33.3333,3.5066,7,152,0.0461,-3.078,N,Y,8,N,KM,.,Experiment 1,.,.,,,,,,,,,,,,,,,,,,,,,,,5,20,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Gammarus duebeni,7.91,6.2095,.,.,7.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0286,1.245,.,.,0.4919,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,7.41,0.492,0.177,0.003,0.105,Y,-0.065,0.004,0.128,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1296,172,527,527,"Ericson et al, Mar Biodiversity 2009",F2,TD,2,SSR,.,g L-1,Algal wet mass ,"Animalia (Littorina littorea, Littorina obtusata, Idotea granulosa, Gammarus duebeni)",Macroalgae,A,4,1,10,2,S,Tj_rn_ Marine Biological Laboratory on the Swedish west coast,58.9,11.11,.,.,2,4,4,.,1,0.03,33.3333,3.5066,7,152,0.0461,-3.078,N,Y,8,N,KM,.,Experiment 2,.,.,,,,,,,,,,,,,,,,,,,,,,,5,20,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Littorina littorea,3.023,5.229,.,.,4.994,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2254,1.2294,.,.,1.1538,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,4.994,1.154,-0.046,0.013,0.227,N,0.502,0.044,0.409,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1404,190,570,570,"Cochran-Stafira & von Ende, Ecology 1998",F3,TD,3,SSR,.,number L-1,Bacteria Abundance,"Protozoa (Bodo, Colpoda, Cyclidium)",Bacteria,T,16,1,3,1,S,"Department of Biological Sciences, Northern Illinois University, DeKalb, Illinois 60015 USA",43.07,-89.38,.,lat long of address of first author,3,3,3,.,0.05,.,.,.,3,.,.,.,N,Y,4,N,KM,.,Wyeomyia Absent,.,.,,,,,,,,,,,,,,,,,,,,,,,3,18,18,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Colpoda,8.27E+08,1.46E+10,4.67E+09,2.36E+09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21312005341,6197696094,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2364754955,6197696094,-1.82,2.408,3.042,N,1.051,.,.,.,1.332,-0.419,88.5395,1.9443,0.1569,-0.8432,98.6059,-4.3757,0.0021,-1.6554,99.9971,-18.5706,0.9636,-0.7863,96.2337,-1.3941,0.8335,-0.9101,97.9213,1.1747,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1406,190,571,571,"Cochran-Stafira & von Ende, Ecology 1998",F3,TD,3,SSR,.,number L-1,Bacteria Abundance,"Protozoa (Bodo, Colpoda, Cyclidium)",Bacteria,T,16,1,3,1,S,"Department of Biological Sciences, Northern Illinois University, DeKalb, Illinois 60015 USA",43.07,-89.38,.,lat long of address of first author,3,3,3,.,0.05,.,.,.,3,.,.,.,N,Y,4,Y,KM,.,Wyeomyia Present,.,.,,,,,,,,,,,,,,,,,,,,,,,3,18,18,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Colpoda,2.38E+09,2.30E+10,4.01E+09,5.31E+09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30521012899,1168760685,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,5309641297,1168760685,-1.465,0.114,0.662,Y,0.804,.,.,.,1.2374,-0.3845,69.4979,5.0919,0.1242,-0.8757,98.762,-4.521,-0.1978,-1.4616,74.943,8.7608,0.9181,-0.7529,82.237,3.4698,0.3946,-0.7327,61.0181,10.0866,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1418,193,575,575,"Byrnes & Stachowicz, Ecology 2009","Data From Author, F1",TD,3,SSR,.,cover m-2,Resource percent cover,"Animalia (Pachygrapsus crassipes, Lottia limatula, Strongylocentrotus purpuratus, Mopalia muscosa)","Animalia (Porifera, Cnidaria, Bryozoa, Chordata)",A,4,3,,2,S,,,,,,3,4,4,0.034,.,3.1,0.011,-4.5128,60,417,0.1439,-1.9387,N,Y,4,N,KM,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,24,23,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mopalia muscosa,3.33E+00,2.68E+01,1.66E+01,.,6.88E+00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.43,26.25,20.26,.,4.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,6.875,4.580626907,-1.36019925,0.095487643,0.605661067,Y,0.723918839,0.497489965,1.382446183,N,1.1817,-0.2384,95.9286,-2.2438,0.325,-0.6782,87.4519,1.1329,0.0673,-0.9812,97.1457,0.4021,0.9972,-0.5362,99.983,-18.6757,0.441,-0.4516,99.9585,-12.2928,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1424,194,157,157,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 4 predators per cage,Trial 2,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,4970,9545,.,.,3.48E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3917.371568,4858.333047,.,.,678.82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3480,678.823,-1.009,0.051,0.444,Y,-0.356,0.33,1.125,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1425,194,157,157,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 8 predators per cage,Trial 2,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,6780,8732.5,.,.,3.06E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6618.519472,4581.415096,.,.,876.81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3060,876.812,-1.049,0.075,0.538,Y,-0.796,0.518,1.41,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1426,194,157,157,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 16 predators per cage,Trial 2,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Coccinella septempunctata,5850,7965,.,.,1.77E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5331.58513,4304.094396,.,.,948.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1769,948.937,-1.505,0.18,0.832,Y,-1.196,0.559,1.466,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1427,194,157,157,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 32 predators per cage,Trial 2,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Coccinella septempunctata,2797,6944.25,.,.,1.44E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1418.456203,3413.635923,.,.,1015.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1442,1015.405,-1.572,0.278,1.034,Y,-0.663,0.377,1.203,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1428,194,158,158,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 4 predators per cage,Trial 1,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,16190,16887.5,.,.,1.03E+04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,664.6803743,4536.945952,.,.,5190.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,10330,5190.164,-0.492,0.135,0.721,N,-0.449,0.127,0.699,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1429,194,158,158,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 8 predators per cage,Trial 1,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,10290,14912.5,.,.,1.26E+04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,268.7005769,5411.722066,.,.,735.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,12620,735.391,-0.167,0.018,0.264,N,0.204,0.002,0.088,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1430,194,158,158,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 16 predators per cage,Trial 1,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,10480,13325,.,.,8.95E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,4628.44312,.,.,2559.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,8950,2559.727,-0.398,0.056,0.464,N,-0.158,0.041,0.396,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1431,194,158,158,"Northfield et al., Ecol Lett 2010",Figure 1,TD,3,SSR,.,number m-2,Herbivore Abundance,"Animalia: Arthropoda: Insecta (Coccinella septempunctata, Diaeretiella rapae, Hippodamia convergens, Nabis alternatus)",Animalia: Arthropoda: Insecta: Hemiptera: Aphididae (Myzus persicae and Brevicoryne brassicae),T,11,1,1,2,S,,,,,,2,4,4,4,.,0.02,200,5.2983,28,115,0.2435,-1.4127,N,Y,2,N,KM,",",Density: 32 predators per cage,Trial 1,.,,,,,,,,,,,,,,,,,,,,,,,2,8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hippodamia convergens,8570,13450,.,.,2.81E+03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5388.153673,4785.895945,.,.,1960.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2814,1960.1,-1.564,0.258,0.996,Y,-1.114,0.44,1.3,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,R,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,2,2,2,Bardgett & Shine 1999,"F1, T2",BU,6,SST,.,g m-2,Microbial biomass,Microbes,"Plantae (Lolium perenne, Holcus lanatus, Ranunculus acris, Anthoxanthum odoratum, Trifolium pratense, Plantango lanceolata leaf litter)",T,7,1,3,3,S,"School of Biological Sciences, 3.614 Stopford Building, University of Manchester, Oxford Road, Manchester M13 9PT, UK",53.46,-2.23,.,lat long of address of first author,6,6,6,0.001,.,.,.,.,100,.,,.,N,Y,.,N,"CJ, BC, KM","Study had 3 destructive sampling dates (25, 50, 100 days).  Authors show no (or weak) interactions between treatment and sample date so data were pooled for analysis.",.,.,.,,,,,,,,,,,,,,,,,,,,,,,3,18,9,9,9,9,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Anthoxanthum odoratum,73.205,53.1245,42.4985,41.0465,43.945,71.5,76.285,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.89,16.3575,10.131,8.6955,13.035,14.355,14.52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,76.285,14.52,0.362,0.009,0.189,Y,0.041,0.011,0.209,N,0.6431,0.1106,50.3064,2.9584,1.3036,0.7297,16.6263,6.0631,-0.221,0.1997,23.5686,4.723,0.7752,0.2326,27.8949,5.1919,-0.3458,0.0982,45.4566,2.6986,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
74,15,28,28,Carney & Matson 2005,T2,BU,6,SST,.,nmol PLFA g-1 soil,Bacteria/Fungal abundance,Soil microbes,Plantae (Tropical lowland rainforest leaf litter),T,9,2,4,3,.,"La Selva Biological Station, Costa Rica.",10.43,-84,50,.,3,5,5,130,.,,,.,80,,,.,N,Y,.,Y,"CJ, BC",Here we only include S = 1 to 5 species because the highest diversity plots were not experimentally controlled (i.e. they were successional plots allowed to colonize naturally).,.,.,.,,,,,,,,,,,,,,,,,,,,,,,.,3,.,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33.87,.,47.61,.,37.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,37.66,#N/A,0.106,.,.,.,.,.,.,.,1.0886,0.028,7.1299,3.6982,1.3277,0.2731,32.6995,2.7321,0.0543,0.1047,24.4368,1.9732,1.0667,0.1172,21.1693,3.2065,0.0693,0.0265,9.2631,2.5222,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
83,18,33,33,DeDeyn et al. 2004,"T1, data from authors",BU,1,SST,.,number m-2,Herbivore abundance,Animalia:Nematoda,Plantae (Roots of herbacious grassland plants),T,7,2,3,2,S,"Department of Multitrophic Interactions, Centre for Terrestrial Ecology, Netherlands Institute of Ecology, PO Box 40, 6666 ZG, Heteren, the Netherlands",51.95,5.75,.,lat long of address of first author,5,16,16,1,.,,,.,840,,,.,,Y,20,Y,"DS, BC, KM",.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,48,24,.,24,.,.,.,6,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,Leucanthemum,213974.359,149816.6667,153926.9231,.,159401.2821,.,.,.,141506.4103,.,.,.,.,.,.,.,254946.1538,.,.,.,.,.,.,.,.,.,.,.,.,.,81335.8974,74717.9487,.,77093.5897,.,.,.,75889.7436,.,.,.,.,.,.,.,77055.1282,.,.,.,.,.,.,.,.,.,.,.,.,6,254946.154,77055.128,0.532,0.021,0.286,Y,0.175,.,.,.,0.8758,0.0438,72.9926,0.908,1.3592,0.5478,25.6271,5.9729,-0.0831,0.1413,42.244,1.9821,0.8834,0.1905,44.5396,4.5058,-0.0897,0.0326,69.8638,-1.2704,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
140,28,53,53,Fox 2004,"F4, data from author",BU,1,SST,.,g L-1,Herbivore biomass,Protista:Ciliata,Microalgae,A,1,1,3,3,A,"NERC Centre for Population Biology, Imperial College, Silwood Park, Ascot, Berkshire SL5 7PY, UK",51.41,-0.63,.,lat long of address of first author,2,7,7,.,0.1,,,.,60,,,.,N,Y,1,Y,"AD, BC",This is the effect of algal species richness (1 vs. 7 species) on consumer biomass in systems with 1-species of ciliate herbivore. Only two algal monocultures were included in the calculations for SSC because the other species were inedible and caused herbivore extinction.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,6,12,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cha,0.0426,0.0254,.,.,.,.,.,0.0283,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0263,0.0196,.,.,.,.,.,0.0188,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.028,0.019,0.109,0.123,0.688,N,-0.408,0.138,0.727,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.
