Mno,Entry,Study,Expt,Ref,Source,TDBU,FTG,TG,Ygen,Yqual,Yunits,Ydesc,Consumer,Taxon,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,AddTrt1,AddTrt2,AddTrt3,Treatment,restrt,Monotes,YEmono,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
126,339,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,425,889.6875,0.4777,-0.7388,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,1.054,0.6788,,,0.9738,,,,,0.9552,,,,,,,1.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,340,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,730,889.6875,0.8205,-0.1978,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,0.4565,0.2942,,,0.3995,,,,,0.42,,,,,,,0.4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,341,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,790,889.6875,0.888,-0.1188,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,0.8309,0.6212,,,0.7873,,,,,0.7142,,,,,,,0.7738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,342,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1095,889.6875,1.2308,0.2076,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,0.2654,-0.1189,,,-0.3423,,,,,-0.0894,,,,,,,-0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,343,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1155,889.6875,1.2982,0.261,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,0.819,0.0831,,,0.4351,,,,,-0.0255,,,,,,,0.2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,344,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1460,889.6875,1.641,0.4953,Y,N,0,Y,CO2 enrich,Nambient,,experimental,incr,,0.3903,0.3022,,,0.2261,,,,,0.3756,,,,,,,0.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,345,59,115,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1520,889.6875,1.7085,0.5356,Y,Y,0,Y,CO2 enrich,Nambient,,experimental,incr,,1.0228,0.6807,,,0.7828,,,,,0.8295,,,,,,,0.7697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,346,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,365,889.6875,0.4103,-0.891,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,847.45,227.2563,,,492.5653,,,,,402.77,,,,,,,468.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,347,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,425,889.6875,0.4777,-0.7388,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,580.55,265.2375,,,426.1667,,,,,486.02,,,,,,,535.4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,348,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,730,889.6875,0.8205,-0.1978,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,349.35,166.7188,,,377.7933,,,,,302.3053,,,,,,,369.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,349,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,790,889.6875,0.888,-0.1188,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,452.05,223.0222,,,317.9973,,,,,284.688,,,,,,,317.2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,350,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1095,889.6875,1.2308,0.2076,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,392.25,179.0413,,,309.4053,,,,,216.0987,,,,,,,260.2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,351,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1155,889.6875,1.2982,0.261,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,1806.3,346.5406,,,423.6067,,,,,297.988,,,,,,,224.3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,352,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1460,889.6875,1.641,0.4953,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,374.8,193.1178,,,371.0687,,,,,347.6607,,,,,,,329.9683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,353,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),plant,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1520,889.6875,1.7085,0.5356,Y,Y,0,Y,CO2 enrich,Nenrich,,experimental,incr,,725.32,316.3431,,,467.12,,,,,364.6667,,,,,,,434.4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,354,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,365,889.6875,0.4103,-0.891,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0,0.0005,,,0.0001,,,,,0.0001,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,355,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,425,889.6875,0.4777,-0.7388,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0001,0.0007,,,0.0002,,,,,0.0002,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,356,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,730,889.6875,0.8205,-0.1978,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0001,0.0007,,,0.0004,,,,,0.0002,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,357,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,790,889.6875,0.888,-0.1188,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0001,0.0008,,,0.0004,,,,,0.0004,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,358,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1095,889.6875,1.2308,0.2076,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0005,0.0011,,,0.0011,,,,,0.0009,,,,,,,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,359,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1155,889.6875,1.2982,0.261,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0007,0.0038,,,0.0027,,,,,0.0024,,,,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,360,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1460,889.6875,1.641,0.4953,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0,0.0003,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,361,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,SSR,,mg g-1,Soil nitrogen mass (NO2 + NO3 + NH4),Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1520,889.6875,1.7085,0.5356,Y,Y,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.0001,0.0012,,,0.0007,,,,,0.0004,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,362,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,365,889.6875,0.4103,-0.891,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.1552,-0.1067,,,0.1363,,,,,0.1419,,,,,,,0.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,363,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,425,889.6875,0.4777,-0.7388,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.4371,0.1428,,,0.3548,,,,,0.3677,,,,,,,0.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,364,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,730,889.6875,0.8205,-0.1978,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.2205,-0.0575,,,0.0598,,,,,0.174,,,,,,,0.1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,365,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,790,889.6875,0.888,-0.1188,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.6821,0.3311,,,0.5285,,,,,0.4944,,,,,,,0.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,366,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1095,889.6875,1.2308,0.2076,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.1542,-0.1816,,,-0.1779,,,,,-0.0986,,,,,,,-0.2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,367,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1155,889.6875,1.2982,0.261,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,2.2154,0.6378,,,1.1844,,,,,1.3459,,,,,,,1.6826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,368,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1460,889.6875,1.641,0.4953,Y,N,0,Y,CO2 enrich,Nenrich,,experimental,incr,,0.3568,0.199,,,0.338,,,,,0.3548,,,,,,,0.3457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,369,59,116,Reich et al. - BioCON (E141),Cedar Creek LTER website; www.cedarcreek.umn.edu,TD,P,1,RD,C,proportional change,Original units: mg kg-1,Plantae (Mixed assemblage of herbaceous grassland plants containing C-3 and C-4 grasses; forbs; and legumes),,Inorganic nutrients (N),0,7,2,4,2,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,4,16,16,4,,8.8288,0.4531,1520,889.6875,1.7085,0.5356,Y,Y,0,Y,CO2 enrich,Nenrich,,experimental,incr,,1.4468,0.9003,,,1.1535,,,,,1.2996,,,,,,,1.2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,370,60,117,Ritchie & Tilman 1993,F5,TD,H,2,SSR,,g m-2,Plant aboveground dry mass,Animalia:Arthropoda:Orthoptera:Acrididae (Melanoplus femur-rubrum; Phoetaliotes nebrascensis; Spharagemon collare),,Plantae (herbacious grassland vegetation - primarily the grass Schizachyrium scoparium),0,7,2,4,1,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,3,3,3,0.16,,0.3527,0.4537,32,365,0.0877,-2.4342,N,Y,,N,Ambient N,,,control,control,,15,18.8667,8.9267,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,371,60,117,Ritchie & Tilman 1993,F5,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Arthropoda:Orthoptera:Acrididae (Melanoplus femur-rubrum; Phoetaliotes nebrascensis; Spharagemon collare),,Plantae (herbacious grassland vegetation - primarily the grass Schizachyrium scoparium),0,7,2,4,1,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,3,3,3,0.16,,0.3527,0.4537,32,365,0.0877,-2.4342,N,Y,,N,Ambient N,,,control,control,,0.3333,0.1615,0.6033,0.3956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,372,60,118,Ritchie & Tilman 1993,F5,TD,H,2,SSR,,g m-2,Plant aboveground dry mass,Animalia:Arthropoda:Orthoptera:Acrididae (Melanoplus femur-rubrum; Phoetaliotes nebrascensis; Spharagemon collare),,Plantae (herbacious grassland vegetation - primarily the grass Schizachyrium scoparium),0,7,2,4,1,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,3,3,3,0.16,,0.3527,0.4537,32,365,0.0877,-2.4342,N,Y,,N,Fertilized (N),,,experimental,incr,,21,16.7333,23.2,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,373,60,118,Ritchie & Tilman 1993,F5,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Arthropoda:Orthoptera:Acrididae (Melanoplus femur-rubrum; Phoetaliotes nebrascensis; Spharagemon collare),,Plantae (herbacious grassland vegetation - primarily the grass Schizachyrium scoparium),0,7,2,4,1,S,Cedar Creek Natural History area in Minnesota; USA,45.4,-93.2,,,3,3,3,0.16,,0.3527,0.4537,32,365,0.0877,-2.4342,N,Y,,N,Fertilized (N),,,experimental,incr,,0.3417,0.4754,0.2727,-0.2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,374,61,119,Scherber et al.; Oecologia 2006,F3,BU,P,1,RD,T,proportional change,Original units: leaf area eaten,Animalia (Arthropoda/Mollusca ... Longitarsus pratensis; Chaetocnema; Hypera meles; Philaenus spumarius; Arthaldeus pascuellus; Javesella pellucida),,Plantae (Arrhenatherum grassland herbaceous plants),0,7,2,4,2,S,Saale river of Jena (Jena-L_bstedt; Thuringia; Germany),50.95,11.62,130,,7,,60,0.3,,,,838,100,8.38,2.125847914,,Y,,Y,,,,control,control,,,0.0189,0.039,,0.024,,,,0.0236,,,,,,,,0.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0465,,,,,,,,,,,,,,,,0.0465,,,,,,,,,,,,
871,375,62,120,Setala & McLean  2004,F2; data from authors,TD,D,4,SST,,mg L-1,Fungal biomass,Fungi (Saprophytic),fungi,Sterile humus from a mixed pine and spruce forest,0,8,1,3,2,A,Department of Ecological and Environmental Sciences; University of Helsinki; Niemenkatu 73; 15140 Lahti; Finland,61,25.65,,lat long of address of first author,6,43,43,,0.8,,,74,10,7.4,2.00148,N,Y,,N,Trmt = ambient,,,control,control,,0.0257,14.8,,17.2,,,20.6,,,,,,23.9,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,376,62,120,Setala & McLean  2004,F2; data from authors,TD,D,4,RD,I,mg CO2-C g-1 dry mass h-1,Fungal respiration rate,Fungi (Saprophytic),,Sterile humus from a mixed pine and spruce forest,0,8,1,3,2,A,Department of Ecological and Environmental Sciences; University of Helsinki; Niemenkatu 73; 15140 Lahti; Finland,61,25.65,,lat long of address of first author,6,43,43,,0.8,,,74,10,7.4,2.00148,N,Y,,N,Trmt = ambient,,,control,control,,8.04,2.366,,4.563,,,4.451,,,,,,4.845,,,,,,,,,,,,6.31,,,,,,,,,,,,,,,,,,,6.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,377,62,121,Setala & McLean  2004,F2; data from authors,TD,D,4,RD,I,mg CO2-C g-1 dry mass h-1,Fungal respiration rate,Fungi (Saprophytic),,Sterile humus from a mixed pine and spruce forest,0,8,1,3,2,A,Department of Ecological and Environmental Sciences; University of Helsinki; Niemenkatu 73; 15140 Lahti; Finland,61,25.65,,lat long of address of first author,6,43,43,,0.8,,,74,10,7.4,2.00148,N,Y,,N,Trmt = + energy,,,experimental,incr,,13.84,6.935,,10.29,,,9.496,,,,,,12.17,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
